Order ID,Order Date,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,Quantity,Order Status,Shipment Status,Ship Date,Product Name
403-9563508-0750747,2025-09-13T08:54:13Z,263.81,13.19,0,0,279.85,263.81,13.19,1,Closed,Shipped,2025-09-14T08:22:40.789Z,Baidyanath Asli Ayurved Bhringrajasava Liquid Syrup-450 Ml(Pack Of 2)
403-0030936-2840362,2025-09-13T08:54:13Z,200,10,0,0,212.15,200,10,1,Closed,Shipped,2025-09-13T16:52:41.378Z,Baidyanath Asli Ayurved Shikakai and Bhringraj Nourishing Shampoo I Hair Strong Shampoo I Coconut Oil I 450 Ml - Sulfate & Paraben Free
403-2814249-3015569,2025-09-13T07:42:09Z,227.62,11.38,0,-11.95',227.05,227.62,11.38,1,Closed,Shipped,2025-09-13T16:52:46.070Z,Amazon Brand - Vedaka Unpolished Barnyard Millets | 1.5 Kg | Jhangora/Udalu/Khira/Kuthiraivally/Kodisama/Siridhanya/Swank
403-6777274-0645915,2025-09-13T07:41:07Z,33.01,0,0,0,33.01,33.01,0,1,Closed,Shipped,2025-09-13T07:42:27.380Z,Amazon Pay balance: Credits
406-4006073-1443510,2025-09-12T15:02:17Z,805.08,144.92,0,-28.5',928.5,805.08,144.92,1,Closed,Shipped,2025-09-13T07:37:16.260Z,Secret Alchemist Madurai Jasmine Clean Long Lasting Floral EDP with Jasmine & Orange Blossom
403-6247688-3111514,2025-09-11T14:14:17Z,138.39,16.61,75,0,231.45,138.39,16.61,1,Closed,Shipped,2025-09-12T09:43:48.873Z,Kerala Ayurveda Nalpamaradi Keram | Ayurvedic Tan Removal & Pigmentation Oil for Face & Body | Turmeric Oil for Glowing Skin & Radiance | 200 ml
403-4392490-4752334,2025-09-11T14:14:17Z,152.38,7.62,0,0,161,152.38,7.62,1,Closed,Shipped,2025-09-12T04:49:39.881Z,"24 Mantra Organic Unbleached Jaggery Powder 1 Kg | Healthy Sugar Substitute, Unrefined & Unadulterated | Certified Organic & Chemical Free"
403-4392490-4752334,2025-09-11T14:14:17Z,334.75,60.25,0,0,397.55,334.75,60.25,1,Closed,Shipped,2025-09-12T05:54:15.566Z,Rustic Art Organic Neem Basil Face Wash Concentrate | Concentrated Formula For Oily Acne-Prone Skin | Vegan Cruelty-Free Cleanser | Men Women | 125g
406-2966684-5357914,2025-09-08T09:24:22Z,564.4,101.6,0,0,669.05,807.26,130.74,1,Closed,Shipped,2025-09-08T12:19:17.111Z,Indulekha Bringha Shampoo|| Proprietary Ayurvedic Medicine for Hairfall|| 580ml
406-2966684-5357914,2025-09-08T09:24:22Z,242.86,29.14,0,0,273.25,807.26,130.74,1,Closed,Shipped,2025-09-08T12:19:17.111Z,"Amazon Brand - Vedaka California Almonds | 200 G | 100% Natural Badam | Dry Fruits Rich In Protein And Dietary Fiber | Nutty & Crunchy | No Additives, Preservatives Or Added Flavors | Healthy Snack"
406-3049161-7790723,2025-09-08T09:24:22Z,151.43,7.57,0,0,159.7,151.43,7.57,1,Closed,Shipped,2025-09-08T16:47:55.122Z,Nature Prime chia seeds 250g | chia seeds for weight loss | Omega-3 Seeds for Eating | Non-GMO and Fibre Rich Seeds (Jar pack)
403-0075324-0710705,2025-09-07T05:55:31Z,395.24,19.76,0,0,420,395.24,19.76,1,Closed,Shipped,2025-09-08T18:02:47.115Z,"Van Heusen Women Bikini Panty-100% Super Combed Cotton-Pack Of 3-Anti Bacterial, No Marks Waistband, Moisture Wicking, Moderate Coverage, Assorted"
406-8311031-0436353,2025-09-02T12:43:16Z,198,0,0,-3.96',201.04,198,0,1,Closed,Shipped,2025-09-03T09:15:16.070Z,Leather Keychain For KTM Bike With Metal Carabiner Clip Orange And Black
403-1244037-9800355,2025-09-01T03:02:59Z,380,0,0,0,380,380,0,1,Closed,Shipped,2025-09-01T09:20:13.331Z,NIINE Dry Comfort Ultra Thin XL+ Sanitary Napkins for Heavy Flow (Pack of 1)50 Pads|320mm Long| Suitable for Heavy Flow|Faster Absorption |Prevents Wetness & Leakage Free Biodegradable disposable bags
403-7145199-6805922,2025-09-01T03:01:00Z,218.15,0,0,0,218.15,218.15,0,1,Closed,Shipped,2025-09-01T03:02:18.063Z,Amazon Pay balance: Credits
406-3480156-3368363,2025-08-31T19:49:40Z,475.24,23.76,0,0,506,475.24,23.76,1,Closed,Shipped,2025-09-01T10:26:15.529Z,rytras Women's Cotton Printed Straight Kurta(RYT305_Yellow_Medium)
403-3770024-5267527,2025-08-30T17:25:58Z,"2,794.92",503.08,0,-65.96',"3,237.04","2,794.92",503.08,1,Closed,Shipped,2025-09-01T08:46:52.648Z,Accessorize London Women's Black Bucket Shoulder Bag for office | Bags for women | Ladies Purse Handbag
403-6289681-8318745,2025-08-30T17:15:09.745Z,"3,298",0,0,0,0,Not Available,Not Available,0,Cancelled,Not Available,Not Available,Accessorize London Women's Black Bucket Shoulder Bag for office | Bags for women | Ladies Purse Handbag
403-6628186-0713143,2025-08-29T09:59:18Z,222.88,40.12,0,0,263,222.88,40.12,1,Closed,Shipped,2025-08-29T17:44:16.055Z,"Nat Habit Ubtan Face Wash, Fresh Daily Tikta For Men & Women, Skin Brightening With Activated Wild Turmeric, Suitable For All Skin Types, Chemical & Sulphate Free, 100g"
403-6598864-9303531,2025-08-29T09:58:15Z,101,0,0,0,101,101,0,1,Closed,Shipped,2025-08-29T09:59:32.775Z,Amazon Pay balance: Credits
403-5583130-4566736,2025-08-29T09:55:31Z,154.29,7.71,0,0,162,154.29,7.71,1,Closed,Shipped,2025-09-03T08:23:24.197Z,Satin Material Pillow Covers with Women's Scrunches(Hairband Pillow Beige)
403-0602419-2423559,2025-08-29T09:54:23Z,71.8,0,0,0,71.8,71.8,0,1,Closed,Shipped,2025-08-29T09:55:42.145Z,Amazon Pay balance: Credits
403-0851889-3701135,2025-08-29T09:46:15Z,"1,185.59",213.41,0,0,"1,404","1,185.59",213.41,1,Closed,Shipped,2025-08-29T17:44:21.271Z,"Lifelong 2 Burner Gas Stove Top for Kitchen - Manual Ignition Cooktop Modern Glass Stove for Modular Kitchen, ISI Certified & Compatible with LPG - 1 Year Manufacturer's (Black, LLGS10)"
403-1545877-0211531,2025-08-28T04:29:28Z,"1,236.44",222.56,0,0,"1,459","1,236.44",222.56,1,Closed,Shipped,2025-08-28T16:42:40.419Z,"Fullmosa 18mm Treen Gradient Color Tanned Leather Watch Straps for Fossil Q Venture Gen 3/Q Venture HR Gen 4, Quick Release Watch Band for Garmin Vivoactive 4S/Vivomove 3S - Coffee"
403-7335699-7611564,2025-08-28T04:28:37Z,"1,459",0,0,0,"1,459","1,459",0,1,Closed,Shipped,2025-08-28T04:29:55.064Z,Amazon Pay balance: Credits
403-3436771-2005168,2025-08-26T12:28:55Z,185.71,9.29,0,0,197.05,185.71,9.29,1,Closed,Shipped,2025-08-26T14:35:14.767Z,"NutriOrganics Premium Quinoa 1kg - Gluten Free Quinoa, Healthy Breakfast, Diet Food for Weight Management"
403-9388779-5366705,2025-08-26T12:28:55Z,266.67,13.33,0,0,282.95,266.67,13.33,1,Closed,Shipped,2025-08-27T05:17:25.398Z,"Organic India The Tulsi Green Tea, 100g"
406-6859457-2123529,2025-08-25T09:35:57Z,304.76,15.24,0,0,325,304.76,15.24,1,Closed,Shipped,2025-08-26T08:04:04.695Z,"Sancha Tea Boutique, Pure Chamomile Tea, 50g Loose Leaves, Caffeine Free Herbal Tisane, Bedtime for Good Sleep, Stress Relief & Relaxation"
403-8430910-1309169,2025-08-24T02:14:12Z,859,0,0,0,859,859,0,1,Closed,Shipped,2025-08-24T02:14:40.159Z,Mobile Prepaid Recharge
403-0774583-1418726,2025-08-24T02:13:50Z,467.98,0,0,0,467.98,467.98,0,1,Closed,Shipped,2025-08-24T02:15:07.415Z,Amazon Pay balance: Credits
406-7309239-4861937,2025-08-20T07:31:35Z,264.29,31.71,0,0,300.2,452.86,41.14,1,Closed,Shipped,2025-08-20T15:35:49.867Z,"Dettol Antiseptic Liquid for First Aid, Surface Disinfection and Personal Hygiene, 750ml"
406-7309239-4861937,2025-08-20T07:31:35Z,188.57,9.43,0,0,200.8,452.86,41.14,1,Closed,Shipped,2025-08-20T15:35:49.867Z,"Kuber Industries Luxurious 1 Piece Microfiber Pillow Filler - 16X24 Inch, White - Ctktc22178(Microfiber)"
406-5022473-6527564,2025-08-20T07:26:58.009Z,296,0,0,0,0,Not Available,Not Available,0,Cancelled,Not Available,Not Available,"Dettol Antiseptic Liquid for First Aid, Surface Disinfection and Personal Hygiene, 750ml"
406-8128579-3510757,2025-08-20T07:26:58.009Z,198,0,0,0,0,Not Available,Not Available,0,Cancelled,Not Available,Not Available,"Kuber Industries Luxurious 1 Piece Microfiber Pillow Filler - 16X24 Inch, White - Ctktc22178(Microfiber)"
